Date,ADR_Close,TW_Close_USD
2020-01-02,53.628562927246094,10.031294859265932
2020-01-03,51.8599967956543,10.0272771271068
2020-01-06,51.26154708862305,9.761686773154743
2020-01-07,52.09223937988281,9.684308831645367
2020-01-08,52.476322174072266,9.704333170321872
2020-01-09,52.905059814453125,9.9316645484144
2020-01-10,52.5745735168457,10.012876943880139
2020-01-13,53.64643859863281,10.065474857049114
2020-01-14,53.87865447998047,10.228150917664905
2020-01-15,52.154754638671875,10.06695761843998
2020-01-16,52.476322174072266,9.86870638842941
2020-01-17,52.3244743347168,9.835622770472515
2020-01-30,49.841346740722656,9.28862861181452
2020-01-31,48.17995834350586,9.35589837383768
2020-02-03,48.92133331298828,9.166920720018123
2020-02-04,51.377662658691406,9.491087970212059
2020-02-05,51.734947204589844,9.631617219239653
2020-02-06,51.82427215576172,9.803803743882519
2020-02-07,50.19862747192383,9.645680433429883
2020-02-10,50.931060791015625,9.584060716601062
2020-02-11,52.395931243896484,9.749906096775998
2020-02-12,53.26234817504883,9.87817819001661
2020-02-13,52.994380950927734,9.891058316403567
2020-02-14,51.976112365722656,9.8663180494398
2020-02-18,50.18075942993164,9.47365096677397
2020-02-19,51.484859466552734,9.593581103978835
2020-02-20,50.4487190246582,9.52742802273292
2020-02-21,49.65376663208008,9.495797995848323
2020-02-24,48.34074020385742,9.299862367345678
2020-02-25,48.10850524902344,9.371864852948331
2020-02-26,49.153568267822266,9.24835537982001
2020-02-27,47.59938049316406,9.238032915402068
2020-03-02,50.00212097167969,9.117214435268043
2020-03-03,49.019588470458984,9.407386113913349
2020-03-04,50.98466110229492,9.507440197221255
2020-03-05,49.778812408447266,9.588041417738971
2020-03-06,49.189300537109375,9.308639241073887
2020-03-09,46.2952766418457,9.022770621561186
2020-03-10,48.689090728759766,9.041671734270624
2020-03-11,46.661502838134766,8.96768583261316
2020-03-12,43.490596771240234,8.634611149283316
2020-03-13,46.65256881713867,8.551543472906866
2020-03-16,40.10530471801758,8.110396250454315
2020-03-17,43.35660934448242,7.827532687221824
2020-03-18,39.63190460205078,7.645967647226764
2020-03-19,39.57509994506836,7.340660760016857
2020-03-20,40.15217208862305,7.940185202985028
2020-03-23,40.81040573120117,7.51194860788877
2020-03-24,44.06550598144531,7.894003024639869
2020-03-25,44.18272018432617,8.193603634168197
2020-03-26,44.967201232910156,8.252774980085157
2020-03-27,42.29819107055664,8.079036180942568
2020-03-30,43.11872863769531,7.906825130391657
2020-03-31,43.0916748046875,8.135901794476489
2020-04-01,41.937522888183594,8.008335044247586
2020-04-06,45.057369232177734,8.120947971816891
2020-04-07,44.831939697265625,8.389172169475282
2020-04-08,45.3278694152832,8.443684639864289
2020-04-09,43.57859802246094,8.392799512959053
2020-04-13,43.957298278808594,8.270622199300215
2020-04-14,45.65248107910156,8.513553580872891
2020-04-15,44.7778434753418,8.539316693827372
2020-04-16,47.24846649169922,8.542625079302777
2020-04-17,48.41162872314453,9.129198291751642
2020-04-20,47.41978073120117,9.025188432837005
2020-04-21,46.31971740722656,8.759455269372815
2020-04-22,47.7443962097168,8.710619677885227
2020-04-23,47.464874267578125,8.767296619295406
2020-04-24,47.546016693115234,8.780935176466965
2020-04-27,48.24934387207031,8.834119897712494
2020-04-28,47.57307434082031,8.838430489216144
2020-04-29,49.12397384643555,8.94525240739968
2020-04-30,47.90669250488281,9.163599856398466
2020-05-04,47.023048400878906,8.799600269031039
2020-05-05,46.62629699707031,8.898761724299815
2020-05-06,47.005008697509766,8.909304333135548
2020-05-07,47.18534851074219,8.843409645294955
2020-05-08,47.70832061767578,8.907849251826825
2020-05-11,47.24846649169922,8.994524298688237
2020-05-12,46.076271057128906,8.799894487097609
2020-05-13,45.91395568847656,8.89048413730477
2020-05-14,46.97795867919922,8.74023247932924
2020-05-15,44.904075622558594,8.8941458517784
